word,weight
bunduk,-3
bunga hati,-3
bungkam,-3
bungkusan,4
bungsu,-3
buntang,-4
buntet,-2
bunting,-3
buntu,-3
buntung,-5
buntut,1
bunuh,-5
bunyi,1
burai,-5
buram,-3
buras,-4
buru,-2
buru-buru,-2
buruan,1
buruk,-5
busana,2
busuk,-5
busut,-4
buta,-3
buta hati,-4
butek,-3
butuh,-5
butut,-5
buyung,4
buyut,-3
bye,-3
caba,-4
cabar,-4
cabau,-3
cabe,-2
cabean,-3
cabik,-3
cabuh,-3
cabul,-5
cabut,-5
cacat,-5
cacatan,-5
cacau,-5
cacauan,-4
caci,-5
caci maki,-5
cacian,-5
cacing,-4
cacing es,-4
cacing gelang-gelang,-4
cacing gila,-4
cacing gilig,-4
cacing ginjal,-4
cacing hati,-2
cacing hitadid,-4
cacing jantung,-4
cacing kalung,-4
cacing karawit,-3
cacing kentar,-4
cacing keremi,-4
cacing palolo,-4
cacing pipih,-4
cacing pita,-4
cacing rambut kuda,-4
cacing tambang,-2
cacing tanah,-4
cadang,-3
cadangan,2
cadas,-3
cagaran,-3
cahari,-3
caing,-3
cair,-1
cakap,-2
cakap angin,-4
cakep,4
cakus,-4
calar,-3
calit,-5
campak,-4
campakkan,-4
camping,-3
campur,5
campur aduk,-2
canda,-3
candal,-5
candala,-5
candang,2
candrasa,3
canggung,-4
cangkul,-4
cangkum,-3
cantik,-2
cantum,4
capai,-1
capaian,4
capak,-4
cape,-4
capit,-3
caplak,-4
care,2
cari,-3
cari ilmu,4
cariin,-2
carik,-5
caruk,-4
carut,-5
cash,2
catak,-4
catu,4
catut,-3
cawis,2
cebak,3
cebik,-3
cebur,-5
cecap,-5
cecer,-3
ceceran,-3
cecunguk,-5
cedera,-4
cedih,-3
cedok,3
cegak,-3
cegar,4
cegat,-3
cek,-4
cekah,-4
cekak,-3
cekang,-3
cekat,-2
cekatan,-1
cekau,-2
cekel,4
ceker,-3
cekluk,-4
cekok,-3
ceku,-5
cekuh,-3
cekung,-4
cela,-4
celaan,-5
celah,-3
celaka,-5
celampak,-3
celemotan,-4
celengan,3
celetuk,-5
celih,-4
celomes,-4
celomok,-4
celonok,-3
celopar,-4
celoteh,-4
celuk,-3
cema,-5
cemar,-5
cemas,-3
cemat,-5
cemberut,-4
cembung,-3
cemburu,-5
cemeeh,-4
cemeh,-4
cemerlang,3
cemeti dewa,-2
cemomot,-4
cemong,-4
cemooh,-5
cemoohan,-4
cempala mulut,-5
cempek,-4
cempelung,-5
cempeng,-4
cempera,-5
cempiang,3
cemplung,-3
cempung,-4
cemuas,-4
cena,-3
cenangkas,3
cencala,-5
cendala,-5
cendekia,-1
cendera,4
cendera mata,4
cenderung,-2
cengang,-2
cengeng,-4
cengger,-3
cengkauan,3
cengkedi,-4
cengkeram,-4
cengkerama,-2
cengkeraman,1
cengung,-3
centang,-5
centil,2
cepet,2
cepol,-4
cerabah,-5
cerabih,-4
ceracam,-4
ceracau,-4
cerai,-4
cerai-berai,-5
cerapan,3
cerca,-4
cercaan,-4
cercah,-3
cerdik,2
cerewet,-5
ceri,4
ceria,3
cerita,-2
cerita anak,-2
cerita burung,-5
cerita khayal,-2
cerita rekaan,-4
ceritanya,2
ceriwis,-4
cermin,3
cerminan,3
cerna,-5
ceroboh,-5
ceronggah,-4
ceruk,-3
cerup,-3
cetek,-3
cetera,-4
cetus,-1
cetusan,-1
challenge,2
chat,3
check,1
cibir,-5
cicik,-4
cicip,3
cikun,-5
cilok,-3
cimeng,-3
cincong,-5
cindur mata,4
cingangah,-4
cinta,2
cinta kasih,4
cintai,4
cintaku,4
cintamu,3
cintrong,1
ciplak,-3
ciptaan,3
cirit,-5
cita rasa,3
citra,2
cium telapak kaki,1
ciuman,-3
ciut,-3
ciyeee,1
claim,-3
classy,-2
close,-2
closed,-3
coba,1
cobaan,-5
cocok,1
cocor,-3
coffee,2
colak-caling,-5
coleng,-4
colok,-1
colong,-5
comberan,-4
comblang,-5
comeback,-2
comel,3
comot,-4
compeng,-4
compes,-4
condong,-5
congek,-3
congkak,-3
congkel,-4
congor,-3
congrats,3
conteng,-3
cool,2
coplok,-3
copot,-2
coreng moreng,-4
corengmoreng,-4
coret,1
coretan,1
cotok,-3
couple,2
cover,3
crash,-4
cry,-3
cuai,-4
cuak,-4
cuat,-1
cubit,-3
cublik,4
cuca,-3
cucok,-1
cucu Adam,3
cucuk,-3
cucup,-3
cucut,-3
cuek,-4
cuekin,-3
cuka belanda,-5
cuka jawa,-5
cukup,-5
cukupan,-3
cuma,-3
cuma-cuma,4
cumbu,-3
cumbuan,-3
cumil,4
cunam,-3
cupet,-5
cupul,-5
cura,-3
curang,-5
curat,-1
curcol,-3
curhat,-1
curi,-5
curiga,-3
curna,-5
curu,-3
cute,4
cutel,-4
cuti,1
dabih,-3
dadah,-4
dadak,3
daftar,-2
dagel,3
